EDAmean,EDAstd,EDAslope,EDArange,RESPrate,RESPamplitude,RESPstd,RESPrange
331.024811,83.876358,0.028545,270.996094,7.934386,0.344238,0.083290,0.344238
3693.965668,104.458485,0.014516,434.875488,7.625834,0.540771,0.148699,0.540771
1528.245789,151.506111,0.041566,454.406738,7.200776,1.056213,0.264551,1.056213
1289.210175,67.728995,0.012672,230.102539,5.422122,2.099915,0.536362,2.099915
446.509979,72.639365,0.024952,225.219727,7.845849,1.603394,0.526856,1.603394
3060.280060,145.907487,0.022245,568.237305,7.482300,0.731506,0.169086,0.731506
5390.979401,290.582898,0.060861,1033.935547,8.073941,0.658264,0.135879,0.658264
1306.839203,126.621295,0.023464,469.055176,7.370148,1.525269,0.374099,1.525269
1449.360992,91.341183,0.025310,334.472656,7.968065,0.484619,0.111791,0.484619
1065.404358,64.956845,0.016682,210.571289,7.538331,0.706177,0.168570,0.706177
4842.733337,254.865678,-0.016274,949.096680,7.651236,0.364075,0.090321,0.364075
2107.879364,291.512222,0.100607,930.480957,6.218681,2.689819,0.732116,2.689819
1113.744537,225.766351,0.071927,731.811523,7.733429,0.442810,0.122857,0.442810
3129.329834,84.741668,0.013305,382.080078,7.390169,0.762329,0.205337,0.762329
4417.421814,176.490090,0.002994,704.956055,5.673888,2.142944,0.502256,2.142944
887.228516,178.512457,0.061545,539.855957,8.082868,0.234680,0.065394,0.234680
3780.583466,130.416242,0.020876,477.905273,7.686677,0.727234,0.171513,0.727234
1766.662292,130.551659,0.034479,416.870117,7.278879,0.976562,0.229513,0.976562
1264.769043,44.557932,0.006621,158.691406,5.068435,2.877808,0.685963,2.877808
606.802490,60.027080,0.019911,182.800293,7.626883,1.234741,0.352392,1.234741
3062.271118,155.873372,0.023411,532.226562,7.451814,0.814819,0.218048,0.814819
5501.499939,184.264885,-0.021434,659.179688,8.129637,0.715637,0.146843,0.715637
1499.578918,111.357389,0.012199,426.025391,7.387726,1.235352,0.377360,1.235352
1549.644104,69.196481,0.001030,228.271484,7.980456,0.451355,0.097409,0.451355
1138.359833,60.035651,0.015361,182.189941,7.782504,0.513611,0.125274,0.513611
4708.291412,262.407866,-0.000891,950.622559,7.724422,0.551758,0.121887,0.551758
2645.838501,162.211042,0.026161,485.229492,6.577576,1.800232,0.463076,1.800232
1226.571655,183.890994,0.058263,547.485352,8.046185,0.422058,0.120976,0.422058
3072.995392,63.322297,0.012327,304.260254,7.199528,0.825195,0.231149,0.825195
4238.181396,218.426008,0.027287,859.375000,5.693404,2.390747,0.605169,2.390747
1295.640900,69.213821,0.022703,190.734863,7.976282,0.382080,0.079166,0.382080
3840.585114,76.967201,-0.004567,264.282227,7.594232,0.508728,0.141180,0.508728
1847.509186,104.710473,0.029314,331.420898,7.078153,1.393738,0.333187,1.393738
1261.960510,37.511861,0.010825,133.056641,5.554845,3.028870,0.898340,3.028870
706.293427,55.982070,0.018375,176.391602,7.823236,2.154236,0.598931,2.154236
3189.969299,170.148050,0.037222,634.765625,7.480782,0.840454,0.196344,0.840454
5373.775360,134.453251,0.027696,577.392578,8.027836,0.551758,0.114798,0.551758
1555.650146,83.287012,-0.008363,311.584473,7.310443,1.238098,0.354199,1.238098
1516.129425,66.658443,0.001119,234.375000,7.944929,0.491943,0.113068,0.491943
1187.088593,62.133704,0.015635,194.396973,7.523815,0.935059,0.269698,0.935059
4667.911469,269.320048,0.007587,946.350098,7.537564,0.512695,0.133568,0.512695
2582.544678,137.612099,0.028423,428.771973,6.181523,2.109680,0.609157,2.109680
1290.976593,111.399730,0.025134,382.385254,8.014435,0.224609,0.056482,0.224609
2978.489258,52.476465,0.009866,202.941895,7.354524,0.862122,0.270334,0.862122
4036.256073,151.171087,0.022776,650.329590,5.824056,2.063904,0.619013,2.063904
