mae,id
7.549810,1
2.111201,2
6.508382,3
4.223587,4
7.879949,5
5.770787,7
1.332042,9
6.270701,11
2.397505,12
7.673719,13
2.601717,15
10.210029,16
6.851312,18
2.860559,19
2.911329,20
3.468601,1
1.413883,2
2.750487,3
2.194101,4
1.352128,5
1.118556,7
1.548065,9
2.633045,11
2.041007,12
3.315943,13
1.744698,15
1.879871,16
2.924964,18
1.810807,19
1.467854,20
6.831869,1
2.497216,2
4.051904,3
5.817781,4
5.214901,5
2.445854,7
5.556331,9
3.364154,11
2.903561,12
9.290733,13
3.321442,15
8.023269,16
5.061045,18
3.506907,19
2.784002,20
