id,startle_index,phase,EDAmean,EDAstd,EDAslope,EDArange,RESPrate,RESPamplitude,RESPstd,RESPrange,mae
1,1,pre,232.933502,1.476918,-0.000424,6.713867,8.043150,0.299072,0.077768,0.299072,0.633737
1,1,startle,331.024811,83.876358,0.028545,270.996094,7.934386,0.344238,0.083290,0.344238,7.549810
1,1,post,584.106567,27.647486,0.007785,116.882324,7.983491,0.334778,0.076647,0.334778,2.241967
2,1,pre,3419.582092,29.400072,0.000892,100.402832,7.624810,0.285950,0.079353,0.285950,0.520509
2,1,startle,3693.965668,104.458485,0.014516,434.875488,7.625834,0.540771,0.148699,0.540771,2.111201
2,1,post,3612.165985,36.879557,-0.012657,128.479004,7.637574,0.408020,0.113956,0.408020,1.919176
3,1,pre,1216.260498,13.214552,0.002436,47.302246,7.372503,0.773621,0.166676,0.773621,0.754650
3,1,startle,1528.245789,151.506111,0.041566,454.406738,7.200776,1.056213,0.264551,1.056213,6.508382
3,1,post,1660.943146,46.416955,-0.003259,168.151855,7.167462,1.106567,0.269930,1.106567,1.177407
4,1,pre,1129.152100,14.013419,0.003447,43.029785,4.986381,2.185059,0.593916,2.185059,0.871551
4,1,startle,1289.210175,67.728995,0.012672,230.102539,5.422122,2.099915,0.536362,2.099915,4.223587
4,1,post,1232.919830,21.210395,-0.006383,83.923340,5.185658,1.780396,0.544115,1.780396,0.862771
5,1,pre,339.624908,2.746309,-0.000897,10.986328,7.337076,1.149902,0.272680,1.149902,2.791848
5,1,startle,446.509979,72.639365,0.024952,225.219727,7.845849,1.603394,0.526856,1.603394,7.879949
5,1,post,539.020813,10.848005,-0.002790,41.809082,7.576247,0.794983,0.159107,0.794983,5.392652
7,1,pre,2572.434021,23.204448,-0.005527,91.552734,7.466604,0.518494,0.113358,0.518494,0.825672
7,1,startle,3060.280060,145.907487,0.022245,568.237305,7.482300,0.731506,0.169086,0.731506,5.770787
7,1,post,2878.769928,46.330227,-0.013852,204.467773,7.422586,0.577698,0.172547,0.577698,1.231377
9,1,pre,4685.288422,14.709140,-0.004788,53.710938,8.145717,0.530090,0.110227,0.530090,0.561085
9,1,startle,5390.979401,290.582898,0.060861,1033.935547,8.073941,0.658264,0.135879,0.658264,1.332042
9,1,post,5348.685913,143.679349,0.030022,439.758301,8.054678,0.712280,0.183197,0.712280,0.863281
11,1,pre,966.641632,11.025055,-0.003809,40.283203,7.339375,1.352539,0.322902,1.352539,1.575247
11,1,startle,1306.839203,126.621295,0.023464,469.055176,7.370148,1.525269,0.374099,1.525269,6.270701
11,1,post,1258.089478,19.378431,-0.006282,72.326660,7.157915,1.643066,0.424207,1.643066,1.662933
12,1,pre,1230.817993,6.627785,-0.000273,28.686523,7.946520,0.251770,0.057889,0.251770,0.665300
12,1,startle,1449.360992,91.341183,0.025310,334.472656,7.968065,0.484619,0.111791,0.484619,2.397505
12,1,post,1449.015961,13.138998,-0.001961,47.912598,7.998818,0.432129,0.118627,0.432129,1.069539
13,1,pre,921.541992,3.766597,-0.001117,16.784668,7.590526,0.786743,0.203160,0.786743,0.877223
13,1,startle,1065.404358,64.956845,0.016682,210.571289,7.538331,0.706177,0.168570,0.706177,7.673719
13,1,post,1048.724060,13.067047,-0.004424,48.217773,7.572551,0.875244,0.211573,0.875244,1.809371
15,1,pre,4129.483948,73.733512,0.010436,236.206055,7.631314,0.444336,0.078467,0.444336,0.470685
15,1,startle,4842.733337,254.865678,-0.016274,949.096680,7.651236,0.364075,0.090321,0.364075,2.601717
15,1,post,4395.509918,83.093091,-0.025784,365.905762,7.686841,0.305786,0.078934,0.305786,1.243806
16,1,pre,1680.648651,52.062596,0.002429,192.565918,6.473383,1.603394,0.428074,1.603394,0.617851
16,1,startle,2107.879364,291.512222,0.100607,930.480957,6.218681,2.689819,0.732116,2.689819,10.210029
16,1,post,2429.895752,73.487003,-0.023947,260.314941,6.344743,1.900330,0.533241,1.900330,3.407271
18,1,pre,709.346100,3.372299,-0.001123,11.901855,7.684788,0.286865,0.073760,0.286865,0.817200
18,1,startle,1113.744537,225.766351,0.071927,731.811523,7.733429,0.442810,0.122857,0.442810,6.851312
18,1,post,1108.276154,55.128395,-0.018636,200.195312,7.788107,0.283813,0.068997,0.283813,3.330305
19,1,pre,2818.554810,23.676350,-0.003637,139.770508,7.213960,0.952759,0.229478,0.952759,0.482728
